fips,year,quarter,quarter_num,period_index,total_ed_encounters,treat_and_release_ed,ed_encounters_requiring,ed_encounters_admitted_as,facility_count,component_gap,county_name,lat,lon,target_lag1,target_lag2,target_lag3,target_lag4,target_roll4,facility_count_lag1,acs_lag2_population,acs_lag2_median_income,acs_lag2_poverty_rate,acs_lag2_pct_under5,acs_lag2_pct_65plus,acs_source_year,acs_lag2_population_100k,weather_lag4_days_observed,weather_lag4_tavg_mean,weather_lag4_precip_total,weather_lag4_snowfall_total,weather_lag4_hot_days,weather_lag4_freeze_days,weather_lag4_wet_days,weather_source_year,is_covid,post_covid,quarter_Q2,quarter_Q3,quarter_Q4,is_nyc,is_downstate_non_nyc,region,facility_ed_encounters_per_100k_proxy
36057,2018,Q1,1,8073,13057.0,6517.0,31.0,948.0,2,5561.0,Montgomery County,42.900891,-74.435357,,,,,,,49667.0,44455.0,20.60663429088814,6.048281555157348,17.663639841343347,2016,0.49667,90,29.032777777777774,11.926,41.29,0,79,50,2017,0,0,0,0,0,0,0,upstate,26289.085308152295
36059,2018,Q1,1,8073,118200.0,67571.0,1176.0,24903.0,12,24550.0,Nassau County,40.729612,-73.589414,,,,,,,1356801.0,102044.0,6.00466868562513,5.443539620032709,16.408375288638496,2016,13.56801,90,36.53,9.399,26.402,0,51,42,2017,0,0,0,0,0,0,1,downstate_non_nyc,8711.668107555935
36061,2018,Q1,1,8073,296075.0,199726.0,1323.0,32582.0,17,62444.0,New York County,40.776642,-73.970187,,,,,,,1634989.0,75513.0,17.623616970493902,5.016792161904453,14.383705333797353,2016,16.34989,90,36.992222222222225,10.52,26.101,0,54,42,2017,0,0,0,0,0,1,0,nyc,18108.684523259788
36063,2018,Q1,1,8073,16945.0,14468.0,83.0,2394.0,5,0.0,Niagara County,43.272672,-78.812943,,,,,,,213374.0,50094.0,13.619868017686777,5.180106292238042,17.268739396552533,2016,2.13374,90,33.83722222222222,9.091000000000001,18.853,0,62,54,2017,0,0,0,0,0,0,0,upstate,7941.454910157751
36065,2018,Q1,1,8073,26615.0,21981.0,123.0,4511.0,3,0.0,Oneida County,43.242727,-75.434282,,,,,,,232858.0,49838.0,16.67338938113259,5.712494309836896,17.416193560023704,2016,2.32858,90,28.459444444444443,15.01,40.984,0,75,58,2017,0,0,0,0,0,0,0,upstate,11429.71252866554
36067,2018,Q1,1,8073,51460.0,39927.0,415.0,11118.0,5,0.0,Onondaga County,43.006516,-76.196134,,,,,,,468050.0,55717.0,15.1862559768709,5.736139301356693,15.333831855570986,2016,4.6805,90,31.095555555555556,13.311,40.018,0,71,67,2017,0,0,0,0,0,0,0,upstate,10994.551864117082
36069,2018,Q1,1,8073,13982.0,10134.0,97.0,1538.0,3,2213.0,Ontario County,42.856357,-77.303497,,,,,,,109450.0,58070.0,10.285207346307027,5.060758337140247,17.803563270899954,2016,1.0945,90,31.914444444444445,10.253,28.166,0,69,59,2017,0,0,0,0,0,0,0,upstate,12774.783005938783
36071,2018,Q1,1,8073,38402.0,30867.0,345.0,7190.0,4,0.0,Orange County,41.40241,-74.306252,,,,,,,376242.0,71910.0,12.647787687907336,6.568910435304937,12.540067297111964,2016,3.76242,90,33.85166666666667,10.873,32.575,0,68,43,2017,0,0,0,0,0,0,0,upstate,10206.728648050988
36073,2018,Q1,1,8073,1797.0,,,,1,,Orleans County,43.339906,-78.207028,,,,,,,41938.0,48731.0,15.57806943485046,4.928704277743336,16.216796222995853,2016,0.41938,90,33.38833333333333,9.984,23.507,0,62,58,2017,0,0,0,0,0,0,0,upstate,4284.896752348705
36075,2018,Q1,1,8073,6792.0,5969.0,24.0,799.0,2,0.0,Oswego County,43.461443,-76.209262,,,,,,,120513.0,49571.0,18.305008284968206,5.512268385983255,14.266510666899007,2016,1.20513,90,30.530000000000005,13.116,42.828,0,68,61,2017,0,0,0,0,0,0,0,upstate,5635.906499713724
